Date, Time, Volume
10/13/2018,6:03:00 AM,1.3603
10/13/2018,6:07:00 AM,12.6054
10/13/2018,6:23:00 PM,23.871
10/22/2018,8:48:00 AM,5.246
10/25/2018,7:27:00 AM,69.9218
10/25/2018,7:31:00 AM,9.5244
10/25/2018,7:58:00 AM,0.7041
10/25/2018,8:40:00 AM,0.7382
10/25/2018,9:20:00 AM,69.9355
10/25/2018,9:33:00 AM,8.6044
10/25/2018,10:31:00 AM,0.0097
10/25/2018,10:31:00 AM,12.583
10/25/2018,10:49:00 AM,5.999
10/25/2018,10:58:00 AM,0.4736
10/25/2018,10:58:00 AM,1.2783
10/25/2018,11:21:00 AM,7.1113
10/25/2018,11:23:00 AM,1.4404
10/25/2018,11:55:00 AM,0.4707
