Date, Close/Last, Volume, Open, High, Low
12/31/2020, $0.075, 785517, $0.09, $0.09, $0.065
12/30/2020, $0.075, 130205, $0.083, $0.0845, $0.0715
12/29/2020, $0.086, 168675, $0.1, $0.1, $0.08
12/28/2020, $0.0809, 228455, $0.099, $0.099, $0.077
12/24/2020, $0.095, 193621, $0.1, $0.1, $0.0725
12/23/2020, $0.1, 186111, $0.1, $0.1, $0.073
12/22/2020, $0.1, 91930, $0.0722, $0.105, $0.0715
12/21/2020, $0.07, 45933, $0.0775, $0.0775, $0.0695
12/18/2020, $0.072, 395145, $0.075, $0.0774, $0.07
12/17/2020, $0.078, 222049, $0.095, $0.095, $0.075
12/16/2020, $0.085, 70336, $0.096, $0.096, $0.0839
12/15/2020, $0.095, 130873, $0.09, $0.095, $0.0855
12/14/2020, $0.09, 167523, $0.095, $0.097, $0.09
12/11/2020, $0.0938, 27500, $0.1068, $0.1068, $0.09
12/10/2020, $0.095, 200384, $0.105, $0.105, $0.0862
12/09/2020, $0.1068, 10551, $0.0922, $0.1069, $0.0922
12/08/2020, $0.105, 416335, $0.11, $0.11, $0.0975
12/07/2020, $0.1, 134900, $0.11, $0.1175, $0.1
12/04/2020, $0.101, 207879, $0.08, $0.1275, $0.079
12/03/2020, $0.09, 202551, $0.079, $0.09, $0.079
12/02/2020, $0.0765, 17231, $0.072, $0.078, $0.072
