Country,Name,Latitude,Longitude,Unit,Type,Model,Net Capacity /MW,Gross Capacity /MW
Argentina,Atucha,-33.96722222,-59.2075,1,PHWR,Siemens-KWU,335,362
Argentina,Atucha,-33.96722222,-59.2075,2,PHWR,Siemens-KWU,692,745
Argentina,Embalse,-32.232,-64.443,1,PHWR,CANDU-6,600,648
Armenia,Metsamor,40.18084444,44.14890833,2,PWR,VVER-440 V-270,375,408
Belgium,Doel,51.32472222,4.258611111,1,PWR,"WH, 2 loops",433,454
Belgium,Doel,51.32472222,4.258611111,2,PWR,"WH, 2 loops",433,454
Belgium,Doel,51.32472222,4.258611111,3,PWR,"Framatome, 3-loops",1006,1056
Belgium,Doel,51.32472222,4.258611111,4,PWR,"Belgian firms plus WH, 3 loops",1039,1090
Belgium,Tihange,50.53462778,5.272533333,1,PWR,"Framatome, 3 loops",962,1009
Belgium,Tihange,50.53462778,5.272533333,2,PWR,"Framatome, 3-loops",1008,1055
Belgium,Tihange,50.53462778,5.272533333,3,PWR,"Belgian firms plus WH, 3 loops",1046,1089
Brazil,Angra,-23.00833333,-44.45722222,1,PWR,Westinghouse (WH) 2 loops,609,640
Brazil,Angra,-23.00833333,-44.45722222,2,PWR,Pre-Konvoi [de],1275,1350
Bulgaria,Kozloduy,43.74611111,23.77055556,5,PWR,VVER-1000/V-320,963,1000
Bulgaria,Kozloduy,43.74611111,23.77055556,6,PWR,VVER-1000/V-320,963,1000
Canada,Pickering,43.81166667,-79.06583333,1,PHWR,CANDU,515,542
Canada,Pickering,43.81166667,-79.06583333,4,PHWR,CANDU,515,542
Canada,Pickering,43.81166667,-79.06583333,5,PHWR,CANDU,516,540
Canada,Pickering,43.81166667,-79.06583333,6,PHWR,CANDU,516,540
Canada,Pickering,43.81166667,-79.06583333,7,PHWR,CANDU,516,540
Canada,Pickering,43.81166667,-79.06583333,8,PHWR,CANDU,516,540
Canada,Darlington,43.87277778,-78.71972222,1,PHWR,CANDU,878,934
Canada,Darlington,43.87277778,-78.71972222,2,PHWR,CANDU,878,934
Canada,Darlington,43.87277778,-78.71972222,3,PHWR,CANDU,878,934
Canada,Darlington,43.87277778,-78.71972222,4,PHWR,CANDU,878,934
Canada,Bruce,44.32527778,-81.59944444,1,PHWR,CANDU,750,805
Canada,Bruce,44.32527778,-81.59944444,2,PHWR,CANDU,750,805
Canada,Bruce,44.32527778,-81.59944444,3,PHWR,CANDU,750,805
Canada,Bruce,44.32527778,-81.59944444,4,PHWR,CANDU,750,805
Canada,Bruce,44.32527778,-81.59944444,5,PHWR,CANDU,795,845
Canada,Bruce,44.32527778,-81.59944444,6,PHWR,CANDU,822,872
Canada,Bruce,44.32527778,-81.59944444,7,PHWR,CANDU,822,872
Canada,Bruce,44.32527778,-81.59944444,8,PHWR,CANDU,795,845
Canada,Point Lepreau,45.06888889,-66.45472222,1,PHWR,CANDU,635,660
China,Changjiang,19.46075,108.8999167,I-1,PWR,CNP-600,610,650
China,Changjiang,19.46075,108.8999167,I-2,PWR,CNP-600,610,650
China,Daya Bay (Guangdong),22.59722222,114.5444444,1,PWR,M-310,944,984
China,Daya Bay (Guangdong),22.59722222,114.5444444,2,PWR,M-310,944,984
China,Fangchenggang,21.67083333,108.5583333,1,PWR,CPR-1000,1000,1080
China,Fangchenggang,21.67083333,108.5583333,2,PWR,CPR-1000,1000,1080
China,Fangjiashan,30.441342,120.941758,1,PWR,CPR-1000,1000,1080
China,Fangjiashan,30.441342,120.941758,2,PWR,CPR-1000,1000,1080
China,Fuqing,25.44583333,119.4472222,1,PWR,CPR-1000,1000,1080
China,Fuqing,25.44583333,119.4472222,2,PWR,CPR-1000,1000,1080
China,Fuqing,25.44583333,119.4472222,3,PWR,CPR-1000,1000,1080
China,Fuqing,25.44583333,119.4472222,4,PWR,CPR-1000,1000,1080
China,Fuqing,25.44583333,119.4472222,5,PWR,Hualong-1,1080,1150
China,Haiyang,36.70833333,121.3833333,1,PWR,AP-1000,1100,1250
China,Haiyang,36.70833333,121.3833333,2,PWR,AP-1000,1100,1250
China,Hongyanhe I,39.79583333,121.4805556,1,PWR,CPR-1000,1061,1119
China,Hongyanhe I,39.79583333,121.4805556,2,PWR,CPR-1000,1061,1119
China,Hongyanhe I,39.79583333,121.4805556,3,PWR,CPR-1000,1000,1080
China,Hongyanhe I,39.79583333,121.4805556,4,PWR,CPR-1000,1000,1080
China,Ling Ao I,22.60478889,114.5514889,1,PWR,M-310,950,990
China,Ling Ao I,22.60478889,114.5514889,2,PWR,M-310,950,990
China,Ling Ao I,22.60478889,114.5514889,3,PWR,CPR-1000,1007,1086
China,Ling Ao I,22.60478889,114.5514889,4,PWR,CPR-1000,1007,1086
China,Ningde I,27.04444444,120.2833333,1,PWR,CPR-1000,1018,1087
China,Ningde I,27.04444444,120.2833333,2,PWR,CPR-1000,1018,1080
China,Ningde I,27.04444444,120.2833333,3,PWR,CPR-1000,1018,1080
China,Ningde I,27.04444444,120.2833333,4,PWR,CPR-1000,1018,1080
China,Qinshan,30.43305556,120.95,I-1,PWR,CNP-300,298,310
China,Qinshan,30.43305556,120.95,II-1,PWR,CNP-600,610,650
China,Qinshan,30.43305556,120.95,II-2,PWR,CNP-600,610,650
China,Qinshan,30.43305556,120.95,II-3,PWR,CNP-600,610,650
China,Qinshan,30.43305556,120.95,II-4,PWR,CNP-600,610,650
China,Qinshan,30.43305556,120.95,III-1,PHWR,CANDU-6,650,728
China,Qinshan,30.43305556,120.95,III-2,PHWR,CANDU-6,650,728
China,Sanmen,29.10111111,121.6419444,1,PWR,AP-1000,1000,1250
China,Sanmen,29.10111111,121.6419444,2,PWR,AP-1000,1000,1250
China,Taishan,21.91777778,112.9819444,1,PWR,EPR,1660,1750
China,Taishan,21.91777778,112.9819444,2,PWR,EPR,1660,1750
China,Tianwan,34.68694444,119.4597222,1,PWR,VVER-1000,990,1060
China,Tianwan,34.68694444,119.4597222,2,PWR,VVER-1000,990,1060
China,Tianwan,34.68694444,119.4597222,3,PWR,VVER-1000,1060,1126
China,Tianwan,34.68694444,119.4597222,4,PWR,VVER-1000,990,1060
China,Tianwan,34.68694444,119.4597222,5,PWR,ACPR-1000,1000,1080
China,Yangjiang,21.70833333,112.2611111,1,PWR,CPR-1000,1000,1086
China,Yangjiang,21.70833333,112.2611111,2,PWR,CPR-1000,1000,1086
China,Yangjiang,21.70833333,112.2611111,3,PWR,CPR-1000+,1000,1086
China,Yangjiang,21.70833333,112.2611111,4,PWR,CPR-1000+,1000,1086
China,Yangjiang,21.70833333,112.2611111,5,PWR,ACPR-1000,1000,1086
China,Yangjiang,21.70833333,112.2611111,6,PWR,ACPR-1000,1000,1086
Czech Republic,Dukovany,49.085,16.14888889,1,PWR,VVER-440 V-213,468,500
Czech Republic,Dukovany,49.085,16.14888889,2,PWR,VVER-440 V-213,471,500
Czech Republic,Dukovany,49.085,16.14888889,3,PWR,VVER-440 V-213,468,500
Czech Republic,Dukovany,49.085,16.14888889,4,PWR,VVER-440 V-213,471,500
Czech Republic,Temelín,49.18,14.37611111,1,PWR,VVER-1000,1003,1056
Czech Republic,Temelín,49.18,14.37611111,2,PWR,VVER-1000,1003,1056
Finland,Loviisa,60.37222222,26.34722222,1,PWR,VVER-440/V-213,496,520
Finland,Loviisa,60.37222222,26.34722222,2,PWR,VVER-440/V-213,496,520
Finland,Olkiluoto,61.23694444,21.44083333,1,BWR,"ASEA-III, BWR-2500",880,910
Finland,Olkiluoto,61.23694444,21.44083333,2,BWR,"ASEA-III, BWR-2500",880,910
France,Belleville,47.50972222,2.875,1,PWR,P4 REP 1300,1310,1363
France,Belleville,47.50972222,2.875,2,PWR,P4 REP 1300,1310,1363
France,Blayais,45.25583333,-0.693055556,1,PWR,CP1,910,951
France,Blayais,45.25583333,-0.693055556,2,PWR,CP1,910,951
France,Blayais,45.25583333,-0.693055556,3,PWR,CP1,910,951
France,Blayais,45.25583333,-0.693055556,4,PWR,CP1,910,951
France,Bugey,45.79833333,5.270833333,2,PWR,CP0,910,945
France,Bugey,45.79833333,5.270833333,3,PWR,CP0,910,945
France,Bugey,45.79833333,5.270833333,4,PWR,CP0,880,917
France,Bugey,45.79833333,5.270833333,5,PWR,CP0,880,917
France,Cattenom,49.41583333,6.218055556,1,PWR,P4 REP 1300,1300,1362
France,Cattenom,49.41583333,6.218055556,2,PWR,P4 REP 1300,1300,1362
France,Cattenom,49.41583333,6.218055556,3,PWR,P4 REP 1300,1300,1362
France,Cattenom,49.41583333,6.218055556,4,PWR,P4 REP 1300,1300,1362
France,Chinon,47.2325,0.1703,B-1,PWR,CP2,905,954
France,Chinon,47.2325,0.1703,B-2,PWR,CP2,905,954
France,Chinon,47.2325,0.1703,B-3,PWR,CP2,905,954
France,Chinon,47.2325,0.1703,B-4,PWR,CP2,905,954
France,Chooz,50.09,4.789444444,B-1,PWR,N4 REP 1450,1500,1560
France,Chooz,50.09,4.789444444,B-2,PWR,N4 REP 1450,1500,1560
France,Civaux,46.45666667,0.652777778,1,PWR,N4 REP 1450,1495,1561
France,Civaux,46.45666667,0.652777778,2,PWR,N4 REP 1450,1495,1561
France,Cruas,44.63305556,4.756666667,1,PWR,CP2,915,956
France,Cruas,44.63305556,4.756666667,2,PWR,CP2,915,956
France,Cruas,44.63305556,4.756666667,3,PWR,CP2,915,956
France,Cruas,44.63305556,4.756666667,4,PWR,CP2,915,956
France,Dampierre,47.73305556,2.516666667,1,PWR,CP1,890,937
France,Dampierre,47.73305556,2.516666667,2,PWR,CP1,890,937
France,Dampierre,47.73305556,2.516666667,3,PWR,CP1,890,937
France,Dampierre,47.73305556,2.516666667,4,PWR,CP1,890,937
France,Flamanville,49.53638889,-1.881666667,1,PWR,P4 REP 1300,1330,1382
France,Flamanville,49.53638889,-1.881666667,2,PWR,P4 REP 1300,1330,1382
France,Golfech,44.10666667,0.845277778,1,PWR,P4 REP 1300,1310,1363
France,Golfech,44.10666667,0.845277778,2,PWR,P4 REP 1300,1310,1363
France,Gravelines,51.01527778,2.136111111,1,PWR,CP1,910,951
France,Gravelines,51.01527778,2.136111111,2,PWR,CP1,910,951
France,Gravelines,51.01527778,2.136111111,3,PWR,CP1,910,951
France,Gravelines,51.01527778,2.136111111,4,PWR,CP1,910,951
France,Gravelines,51.01527778,2.136111111,5,PWR,CP1,910,951
France,Gravelines,51.01527778,2.136111111,6,PWR,CP1,910,951
France,Nogent,48.51527778,3.517777778,1,PWR,P4 REP 1300,1310,1363
France,Nogent,48.51527778,3.517777778,2,PWR,P4 REP 1300,1310,1363
France,Paluel,49.85805556,0.635555556,1,PWR,P4 REP 1300,1330,1382
France,Paluel,49.85805556,0.635555556,2,PWR,P4 REP 1300,1330,1382
France,Paluel,49.85805556,0.635555556,3,PWR,P4 REP 1300,1330,1382
France,Paluel,49.85805556,0.635555556,4,PWR,P4 REP 1300,1330,1382
France,Penly,49.97666667,1.211944444,1,PWR,P4 REP 1300,1330,1382
